,Date,AMZN,AAPL,GOOGL,TSLA,META,NVDA,MSFT
0,11/27/2023,,,,,,,
1,11/28/2023,0.9952616259392135,1.0032140787185837,1.0057913642694816,1.045069467976957,1.0128174484613086,0.9912935323383084,1.0108026729352102
2,11/29/2023,0.9951710535264912,0.9945903361344538,0.9838921282798835,0.9895428015564202,0.9799699106168323,1.0066917607695525,0.9899399007055135
3,11/30/2023,0.998428102788409,1.003062787136294,0.9817764278835469,0.9833701974277055,0.9847983142685129,0.9715413377648525,1.0001583740266595
4,12/01/2023,1.0064343897597372,1.0067912608581207,0.9949445408586736,0.9947934021992669,0.9928778847623415,1.0,0.9883877437914016
5,12/04/2023,0.9851050805957968,0.9905354528341351,0.9803579554072501,0.986391994305573,0.9852225848162058,0.973059653624118,0.9856612640516942
6,12/05/2023,1.0140845070422535,1.0210631895687061,1.0133054846445424,1.0133288055013159,0.9945940878695083,1.0232915842671941,1.0091564176193315
7,12/06/2023,0.9839324618736385,0.9943128942198325,0.992594854569051,1.002722855227882,0.9973608972949196,0.9770238350869659,0.9900139589820681
8,12/07/2023,1.0163299197342928,1.0101393510815309,1.0531456698969388,1.0136608597568617,1.0287919357379114,1.0241758241758243,1.0058297180043383
9,12/08/2023,1.0036764705882353,1.0074123642353425,0.9858321770247572,1.0049455984174085,1.0188615695520378,1.019527896995708,1.0088421620164443
10,12/11/2023,0.9896214896214897,0.9870727096213786,0.9874064745536705,0.9831856955380578,0.9775507137490608,0.9814775836665967,0.9921705902787056
11,12/12/2023,1.01089862224964,1.0079200745418782,0.9942231225148175,0.9886126637190289,1.02748401377275,1.0220887840446065,1.0082951791004577
12,12/13/2023,1.00922158936805,1.0166914899080683,1.0003773015393902,1.0096198472638285,1.0015558614086528,1.0090222408728495,0.9999732891714301
13,12/14/2023,0.9904595538833646,1.0007577288341079,0.9952477936184657,1.0491453884408042,0.9953097926749119,1.0054065294239967,0.9774554585036194
14,12/15/2023,1.0172975172975174,0.9972742415829589,1.0050022737608004,1.0097590121489743,1.0052525737611429,1.011168562564633,1.0131172628644822
15,12/18/2023,1.027338801093552,0.9914966847193399,1.024132730015083,0.9943984220907298,1.0289621402125881,1.0243403559010023,1.0051789712189463
16,12/19/2023,0.9981826442526125,1.0053601511052122,1.006259204712813,1.020390352269121,1.0166560269282108,0.9904153354632589,1.0016369247282975
17,12/20/2023,0.9891410364783146,0.9892860769777598,1.0123673618733993,0.9608117564730579,0.9969174563306312,0.9699596774193548,0.9929271821250604
18,12/21/2023,1.0113068630028925,0.9992300980341836,1.01503541997976,1.0297806911062557,1.013771186440678,1.0182914155061318,1.0078786897630998
19,12/22/2023,0.9972698907956318,0.9944524347647421,1.007619997151403,0.9922986247544204,0.9980231014713774,0.9967340273525208,1.0027841730470632
20,12/26/2023,0.9999348194498762,0.997159090909091,1.0002120291186656,1.0161162588104855,1.0040748181895356,1.009215646119189,1.0002135725345722
21,12/27/2023,0.9995437064076658,1.0005180005180005,0.9918739400791408,1.018822337399166,1.0084547529803005,1.0028409090909092,0.9984252388832541
22,12/28/2023,1.0002608582235555,1.002226249029252,0.9990026358908598,0.968405752753978,1.0013693653410838,1.0020234722784298,1.0032346886946293
23,12/29/2023,0.990611553005607,0.99457588593863,0.9961491834842758,0.9814361323959238,0.9878321053806652,1.0,1.0020251545512686
24,01/02/2024,0.9867710938528367,0.9642133693450371,0.9891187629751592,0.9997585318737926,0.9783308848457454,0.9727382875605816,0.9862514626103606
25,01/03/2024,0.990262122323751,0.9925123895712131,1.005428095823985,0.9598663553659126,0.9947442894683647,0.9875441145941457,0.9992719820961523
26,01/04/2024,0.9737320670842594,0.9872998643147897,0.9817880794701986,0.9978192493185155,1.0076929776177896,1.0090393104898046,0.9928224500809497
27,01/05/2024,1.0046344331465726,0.9959870265515915,0.9951609355524599,0.9981507165973186,1.0139144964277482,1.0229166666666667,0.9994836114583899
28,01/08/2024,1.0265767006334343,1.0241748537366155,1.0229131363736832,1.012463682681376,1.0190652081261544,1.0641547861507128,1.0188715159755268
29,01/09/2024,1.0152246814218646,0.9977365811597326,1.0151973494670123,0.9771678103555833,0.9965705682261752,1.0170334928229665,1.0029357602284557
30,01/10/2024,1.0155909361167998,1.0056713838176516,1.0094359702021996,0.9956588355464759,1.0364826679349803,1.0227700414000753,1.0185742036775858
31,01/11/2024,1.0094321212515451,0.9967774853644127,0.9985943210570707,0.9712746858168761,0.9978405808837423,1.0086476540938363,1.004859314993338
32,01/12/2024,0.9963912875370537,1.0017781130448837,1.0040118243243243,0.9633394947627849,1.0130386560986826,0.9979934330536301,1.0099836206224164
33,01/16/2024,0.9905574957961454,0.9876828743545611,0.9988783736417806,1.0046598748229705,0.9812278031456113,1.030524584171084,1.0046335624372538
34,01/17/2024,0.9905327761817708,0.9948265533954147,0.9928416029195031,0.9801737074257652,1.0024764600228597,0.9941468605888611,0.9979501370845826
35,01/18/2024,1.0117988267088525,1.0325706152835559,1.014207959284654,0.9829737879842263,1.021065776257567,1.0189116859946477,1.0112974041646339
36,01/19/2024,1.0119869706840392,1.0155330541271272,1.0202118762196821,1.0014630923164056,1.0194613564459096,1.041673962528454,1.0121867621296368
37,01/22/2024,0.9963950045062443,1.0121632908749216,0.9973357015985791,0.9840237522974693,0.9956448037553788,1.002689527651706,0.9945819851004589
38,01/23/2024,1.0080113709781626,1.0066532570013926,1.0071922734433865,1.0016283524904213,1.008958038661009,1.0036881810561609,1.0060275907291114
